FrameCounter,RunTime,CameraPositionX,CameraPositionY,CameraPositionZ,CameraDirectionX,CameraDirectionY,CameraDirectionZ,CameraVelocityX,CameraVelocityY,CameraVelocityZ
118,2.703923,0.04827113,0.7337167,0.09258991,346.8124,3.739878,4.881966,-0.00241758,0.007084073,0.3966462
119,2.721368,0.0481681,0.733418,0.1002426,346.9996,3.533135,4.709226,-0.00590582,-0.01712404,0.4386599
120,2.744792,0.04833841,0.733107,0.1078749,347.2481,3.232349,4.382285,0.007270345,-0.01327762,0.3258314
121,2.766469,0.04866038,0.7330457,0.1154353,347.3938,2.846519,4.027458,0.01485354,-0.002826692,0.3487788
122,2.793531,0.04901205,0.7325588,0.1233082,347.3946,2.693907,4.041552,0.01299502,-0.0179904,0.2909258
123,2.815223,0.04959612,0.7324391,0.1307007,347.3969,2.452882,3.813938,0.02692553,-0.005520262,0.3407927
124,2.834074,0.05011652,0.7326663,0.1380357,347.3635,2.233134,3.407823,0.02760649,0.01205006,0.3891077
125,2.85506,0.0507596,0.7326723,0.1454293,347.3238,2.142132,3.410623,0.03064239,0.0002896937,0.3523023
126,2.883963,0.05154406,0.732886,0.1526605,347.2659,2.073586,3.393704,0.02714136,0.007393155,0.2501897
127,2.908866,0.05232669,0.7330675,0.1599185,347.0044,2.31541,2.989368,0.03142742,0.007285852,0.2914532
128,2.946824,0.05399037,0.7332694,0.1739102,346.6844,2.531597,2.573512,0.04382936,0.005320084,0.3686098
129,2.968071,0.05523342,0.7333452,0.1801364,346.5754,2.57355,2.373401,0.05850372,0.003568303,0.2930314
130,2.988686,0.0561326,0.7333359,0.1855818,346.4031,2.79825,2.055758,0.04361859,-0.0004539462,0.2641547
131,3.015481,0.05686643,0.7336372,0.1908994,346.2751,3.144379,1.994261,0.02738605,0.01124665,0.1984503
132,3.04126,0.05793327,0.7336691,0.1944098,346.3116,3.198915,1.949571,0.04138501,0.001237017,0.1361753
133,3.082225,0.0599605,0.7337694,0.2013474,346.2627,3.460154,1.906607,0.04948646,0.002447314,0.1693525
134,3.103171,0.06096557,0.7338367,0.203033,346.335,3.590894,1.910002,0.04798482,0.00321279,0.08047555
135,3.125336,0.06202761,0.7343018,0.2034541,346.3285,3.666019,1.867002,0.04791416,0.02098549,0.01899894
136,3.145567,0.06305677,0.7345276,0.2034144,346.344,3.766909,1.914837,0.0508712,0.01116035,-0.001964404
137,3.165377,0.06367895,0.7346281,0.2020679,346.4293,3.817111,1.988625,0.03140759,0.005072935,-0.06796935
138,3.190164,0.06466934,0.734805,0.1999011,346.4822,3.914945,2.002998,0.03995652,0.007139559,-0.08741872
139,3.212005,0.0656086,0.7349241,0.1967313,346.6055,4.015284,2.124711,0.04300423,0.005449852,-0.1451306
140,3.23862,0.06644645,0.7348195,0.1929623,346.79,4.087174,2.408537,0.03148067,-0.00393036,-0.1416133
141,3.259889,0.06721579,0.7346345,0.1881361,347.0835,3.971561,2.881673,0.03617173,-0.008695872,-0.2269082
142,3.277909,0.06792847,0.7344384,0.1821233,347.3532,3.648446,3.448551,0.03954893,-0.01088553,-0.3336732
143,3.300209,0.06850767,0.7339981,0.1753631,347.6604,3.22892,4.100693,0.02597312,-0.01974437,-0.303147
